custom_pub_id,longitude,latitude
a2196b7a8b7df60234217a74b78c4d0d,0.5793685,50.855755
2b3ff940fe1cdbdf0de155d67976b04c,-0.5931056,51.771313
ea125ffb0b98a209bc8027be7985198e,-0.3133333,51.905834
ee70a03b7b96dcc0b3de826a943d74ed,-0.3817185,51.6463
83fd76c46c57b943d83345da45facf46,-3.2215953,54.136543
492b6f5ed3f90d481c3b7e00fcd1f47d,-0.1843039,51.521027
5c023e772df83f70ff28926d7b9b2499,0.7935085,52.106056
1aea93aeb0920a13678b940687712450,-1.9401124,53.674652
b05b58d5342b2862f4fe074d9aa0cccd,1.3674827,52.302544
59dc0a14a309c4bb80dc333bd17e995f,-1.5745174,53.79093
4906dc600b880f67ac4465a5bda5eae3,-3.808285,50.574364
1b469e1570e8bac3155e14f048d9815d,-1.863346,52.463284
6081c4b6768ee50f4bfea7f6105c07f4,-2.0062487,52.618713
c59cfd12aed13818042843f8ac9d5db0,-6.109928,54.210922
24796ddc9072894cd5f424643c661b0f,-2.099073,57.151276
a003b8f742479bd2a753443bc1ed91d4,0.0308143,51.526833
2b57961836b77fe95981754fa95a1b50,-0.6041388,51.480473
8582f36dea7904ef75e57b1d89682f57,-1.9122617,52.487206
1c1b187b696ac8f6692de76aad9532b8,-2.124477,50.751575
0618688b9d3d7abe2694b1bb32dc8b18,-2.0910542,52.510284
fd2bcd50d623a965936c12ba1235993f,,
aded63cfa813a969816fe06992f22c6a,-2.1144605,52.54359
5b1e21c4c2f86ab0577a7e2b68162d8b,-1.7963732,51.068794
1ddab4d98f1c8a57a886d48192d75025,0.8407032,52.825924
65ebeb7ae13e542c92caa77493727f5c,1.2714552,52.636185
6c9b26e89839edde42365f1454f3bc71,-2.2605963,53.483143
b63b3ed206595c7716e63f12717e0bbb,-1.982966,54.57206
c37541505c62b596f5890d7a2bb29b7a,-1.9645644,52.48475
67b2b06cd350d61d5c0a61f6e983823a,-2.4587889,50.60666
5ea081d0888ee4e55f4969c870a7c989,-0.4318408,53.84447
a1335ec503ec785fd1013ab9543af295,-0.7352153,54.40873
effc60abce5edc129104ce38a14a257f,-0.29839,51.40689
1103a461e2f08f3e46199731bbd1f7fc,-2.2236345,52.19411
7c5eea9f05774d1093f60c044b8261dc,-1.755679,51.88324
c7d76bc654ff0e733dfa78ede81ff84d,-1.8563057,53.718693
e0574144a616312d6724ed1e5d378faf,-2.6024811,51.461456
660b7e263ec1003932a810e2697356bb,-1.5800905,53.80562
51856f78d89a3a2d3df351e2ce1d9b82,-1.528009,53.78044
6185e8615dac02d6d9945365f385a98a,-1.5825838,53.806503
121abccb49d7d0bec5d4a63df592da29,-2.9784803,56.473534
f7aa453534dcc411fb29f64f834ce9fb,-1.0790985,53.95873
bd5cb1adf8fe11fb319046c6bededa35,-2.618734,51.44728
a009af8c0161cba58000b4731e693b43,-2.4229808,51.88981
277ff57d55781049c3e58f93c527ec12,-6.4548388,54.420334
72880f027aebef191a8635fab5149141,0.8908311,51.316013
e3ca618ddd8ed17af2d6971c39469754,0.6713287,52.217285
565ef92207f4dbb2d1e17340eb17ccb1,-2.2185185,51.71051
976886b67aa491ceaac9f1cb7f177b8f,-2.374425,53.129173
24a215842cd8926872ee784e3ff335d5,-5.9341145,54.594704
d642e015bd80a9c122b27d367e908bbd,-5.956123,54.596237
0b9cd6d5928efeeaaf0aee5f0d5cdb51,-6.2510777,55.20049
800ca4932077df7761cdace871d631f0,-5.9997935,54.771393
9ba90d2a824e5ae3e6effb0859ce2b97,-6.4106903,54.18044
2c2203187d3197c6d4ba51e21b0a6dda,-0.2229828,51.497322
4bb2565e3a3b32052da05e8930ef6e58,-3.4095402,55.52356
f039b6b45d6b0cacfe3701d6ca236a02,-5.026111,54.90389
